Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Scientific Name - Concept Reference,Taxonomy Comments,Provincial FRPA Comments,COSEWIC Date,SARA Schedule,SARA Status,SARA Date
Acantholiparis caecus,,Fanged Snailfish,,F-ACCA,AFC4G21020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Acantholiparis opercularis,,Spiny Snailfish,,F-ACOP,AFC4G21010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Acipenser medirostris,,Green Sturgeon,,F-ACME,AFCAA01030,G2,May-22,S2S3N,May-19,May-19,SC (Nov 2013),,Blue,,,Alsek Ranges; Bulkley Ranges; Central Boundary Ranges; Continental Slope; Central Pacific Ranges; Cranberry Upland; Dixon Entrance; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser Lowland; Georgia Lowland; Hecate Lowland; Hecate Strait; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Kimsquit Mountains; Kitimat Ranges; Leeward Pacific Ranges; Meziadin Mountains; Nass Basin; Nanaimo Lowland; Nass Mountains; Northern Boundary Ranges; North Coast Fjords; Nicola Basin; Northern Pacific Ranges; Northern Skeena Mountains; Northwestern Cascade Ranges; Nahwitti Lowland; Okanagan Range; Outer Fjordland; Pavilion Ranges; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Southern Boreal Plateau; Southern Boundary Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Skidegate Plateau; Strait of Georgia; Southern Pacific Ranges; Southern Skeena Mountains; Stikine Highland; Stikine Plateau; Tatshenshini Basin; Tagish Highland; Teslin Plateau; Tahltan Highland; Vancouver Island Shelf,,,,1-SC (Aug 2006),,2 - May be at risk(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 5- Cariboo; 6- Skeena; 8- Okanagan,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; North Coast Regional District; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Princeton; Squamish; Whistler; Pemberton; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Kitimat; Stewart; Terrace; Daajing Giids; Masset; Port Clements; Port Edward; Prince Rupert; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,CDF; CWH,Ocean / Eelgrass Beds / Obligate ; Ocean / Intertidal Marine / Obligate ; Ocean / Kelp Bed / Obligate ; Ocean / Marine Island / Obligate ; Ocean / Pelagic / Obligate ; Ocean / Reefs / Obligate ; Ocean / Sheltered Waters - Marine / Obligate ; Ocean / Subtidal Marine / Obligate,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,Nov 2013,1,SC,Aug 2006
Acipenser transmontanus,,White Sturgeon,,F-ACTR,AFCAA01050,G3,Mar-24,S2,Apr-18,Nov-94,E/T (Nov 2012),"COSEWIC status is applied at the population level. Populations 1, 2 and 5 are E and population 4 is T.",No Status,,,Babine Upland; Big Bend Trench; Bowron Valley; Bulkley Basin; Bulkley Ranges; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Boundary Ranges; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Park Ranges; Central Pacific Ranges; Cranberry Upland; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser River Basin; Fraser Lowland; Front Ranges; Georgia Lowland; Guichon Upland; Hart Foothills; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Pacific Ranges; Manson Plateau; McGregor Plateau; McGillivray Range; Meziadin Mountains; Misinchinka Ranges; Nass Basin; Nanaimo Lowland; Nazko Upland; Nechako Lowland; Nechako Upland; Northern Hart Ranges; Nicola Basin; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Omineca Mountains; Northern Park Ranges; Northern Shuswap Highland; Northern Skeena Mountains; Northern Thompson Upland; Northwestern Cascade Ranges; Okanagan Range; Outer Fjordland; Pavilion Ranges; Parsnip Trench; Peace Foothills; Quesnel Highland; Quesnel Lowland; Southern Boreal Plateau; Southern Boundary Ranges; Southern Columbia Mountains; Southern Chilcotin Ranges; Selkirk Foothills; Southern Gulf Islands; Shuswap Basin; Southern Hart Ranges; Southern Okanogan Basin; Strait of Georgia; Southern Okanogan Highland; Southern Omineca Mountains; Southern Park Ranges; Southern Purcell Mountains; Southern Pacific Ranges; Shuswap River Highland; Southern Skeena Mountains; Stikine Highland; Thompson Basin; Tranquille Upland; Upper Columbia Valley; Upper Fraser Trench; Western Chilcotin Ranges; Western Chilcotin Upland; Western Okanagan Upland,,,,1-E,"Partial: Columbia River, Nechako River and Kootenay River populations on Schedule 1 (2006-08-15).",1 - At Risk(2005),II,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 4- Kootenay; 5- Cariboo; 6- Skeena; 7- Omineca; 8- Okanagan; 9- Peace,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cariboo Regional District; Columbia Shuswap Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District; qathet Regional District,Vanderhoof; Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Keremeos; Princeton; Lillooet; Squamish; Whistler; Pemberton; Ashcroft; Chase; Clinton; Kamloops; Logan Lake; Barriere; Cache Creek; Clearwater; Lytton; Merritt; Sun Peaks; Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; 100 Mile House; Golden; Revelstoke; Salmon Arm; Sicamous; Quesnel; Canal Flats; Wells; Invermere; ; Kimberley; Radium Hot Springs; Williams Lake; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Armstrong; Coldstream; Enderby; Spallumcheen; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Burns Lake; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Mackenzie; McBride; Prince George; Valemont; Fort St James; Fraser Lake; Granisle; Houston; Smithers; Lake Country; West Kelowna; Telkwa; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,BG; CDF; CWH; ICH; IDF; MS; PP; SBS,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Ocean / Eelgrass Beds / Facultative - occasional use ; Ocean / Intertidal Marine / Facultative - occasional use ; Ocean / Kelp Bed / Facultative - occasional use ; Ocean / Marine Island / Facultative - occasional use ; Ocean / Pelagic / Facultative - occasional use ; Ocean / Reefs / Facultative - occasional use ; Ocean / Sheltered Waters - Marine / Facultative - occasional use ; Ocean / Subtidal Marine / Facultative - occasional use ; Other Unique Habitats / Estuary / Unknown ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,Nov 2012,1,E,
Acipenser transmontanus pop. 1,,White Sturgeon (Upper Kootenay River Population),,F-ACTR-01,AFCAA01051,G3T1Q,Feb-06,S1,Apr-18,Nov-93,E (Nov 2012),,Red,,,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; East Kootenay Trench; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Southern Purcell Mountains; Shuswap River Highland,,,,1-E (Jun 2003),,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,3- Thompson; 4- Kootenay; 7- Omineca; 8- Okanagan,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of North Okanagan; Thompson-Nicola Regional District,Nelson; Slocan; Silverton; Creston; Kaslo; New Denver; Nakusp; Revelstoke; ; Kimberley,ICH,Stream/River / Stream/River / Obligate,Native,Regularly occurring,,,N,Y,,U.S. Fish and Wildlife Service (USFWS). 1993. Proposed endangered status for the Kootenai River population of the white sturgeon. Federal Register 58(128):36379-36388. 7 July 1993.,,,Nov 2012,1,E,Jun 2003
Acipenser transmontanus pop. 2,,White Sturgeon (Upper Columbia River Population),,F-ACTR-02,AFCAA01052,G3T3Q,Mar-24,S1,Apr-18,Dec-94,E (Nov 2012),,Red,,,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; Central Park Ranges; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Park Ranges; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Shuswap Basin; Southern Okanogan Basin; Southern Okanogan Highland; Southern Park Ranges; Southern Purcell Mountains; Shuswap River Highland; Upper Columbia Valley; Upper Fraser Trench,,,,1-E (Jun 2003),,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,3- Thompson; 4- Kootenay; 7- Omineca; 8- Okanagan,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Thompson-Nicola Regional District,Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; Golden; Revelstoke; Salmon Arm; Sicamous; Canal Flats; Invermere; ; Kimberley; Radium Hot Springs; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Coldstream; Spallumcheen; Lake Country,ICH,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Stream/River / Stream/River / Unknown,Native,Regularly occurring,,,N,Y,,NatureServe. Unpublished. Concept reference for taxa for which no reference which describes the circumscription has been recorded; to be used as a placeholder until such a citation is identified.,,,Nov 2012,1,E,Jun 2003
Acipenser transmontanus pop. 4,,White Sturgeon (Lower Fraser River Population),,F-ACTR-04,AFCAA01054,G3T2Q,Mar-02,S1S2,Apr-18,Apr-18,T (Nov 2012),,Red,,,Cariboo Basin; Central Chilcotin Ranges; Chilcotin Plateau; Central Pacific Ranges; Eastern Pacific Ranges; Fraser River Basin; Fraser Lowland; Georgia Lowland; Guichon Upland; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Pacific Ranges; Nanaimo Lowland; Nicola Basin; Northern Okanagan Basin; Northern Thompson Upland; Northwestern Cascade Ranges; Okanagan Range; Outer Fjordland; Pavilion Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Shuswap Basin; Southern Okanogan Basin; Strait of Georgia; Southern Pacific Ranges; Thompson Basin; Tranquille Upland; Western Chilcotin Ranges; Western Okanagan Upland,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 5- Cariboo; 8- Okanagan,Capital Regional District; Comox Valley Regional District; Cariboo Regional District; Columbia Shuswap Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Central Okanagan; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Keremeos; Princeton; Lillooet; Squamish; Whistler; Pemberton; Ashcroft; Chase; Kamloops; Logan Lake; Cache Creek; Lytton; Merritt; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; West Kelowna; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,CDF; CWH; IDF,Ocean / Eelgrass Beds / Facultative - frequent use ; Ocean / Intertidal Marine / Facultative - frequent use ; Ocean / Kelp Bed / Facultative - frequent use ; Ocean / Marine Island / Facultative - frequent use ; Ocean / Pelagic / Facultative - frequent use ; Ocean / Reefs / Facultative - frequent use ; Ocean / Sheltered Waters - Marine / Facultative - frequent use ; Ocean / Subtidal Marine / Facultative - frequent use ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,,,Y,Y,,"Ptolemy, J. and R. Vennesland. 2003. Update COSEWIC status report on the White Sturgeon Acipenser transmontanus in Canada, in COSEWIC assessment and update status report on the White Sturgeon Acipenser transmontanus, in Canada. Committee on the Status of Endangered Wildlife in Canada (COSEWIC). Ottawa. 1-51 pp.",,,Nov 2012,,,
Acipenser transmontanus pop. 5,,White Sturgeon (Upper Fraser River Population),,F-ACTR-05,AFCAA01055,G3T1Q,Oct-01,S2,Apr-18,Jun-18,E (Nov 2012),,Red,,,Babine Upland; Big Bend Trench; Bowron Valley; Bulkley Basin; Bulkley Ranges; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Park Ranges; Cranberry Upland; Eastern Purcell Mountains; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser River Basin; Front Ranges; Guichon Upland; Hart Foothills; Hozameen Range; Leeward Pacific Ranges; Manson Plateau; McGregor Plateau; Misinchinka Ranges; Nazko Upland; Nechako Lowland; Nechako Upland; Northern Hart Ranges; Nicola Basin; Northern Kootenay Mountains; Northern Park Ranges; Northern Shuswap Highland; Northern Thompson Upland; Okanagan Range; Pavilion Ranges; Parsnip Trench; Peace Foothills; Quesnel Highland; Quesnel Lowland; Southern Chilcotin Ranges; Shuswap Basin; Southern Hart Ranges; Southern Omineca Mountains; Southern Park Ranges; Shuswap River Highland; Southern Skeena Mountains; Thompson Basin; Tranquille Upland; Upper Columbia Valley; Upper Fraser Trench; Western Chilcotin Ranges; Western Chilcotin Upland,,,,1-E (Jun 2003),,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,,2- Lower Mainland; 3- Thompson; 4- Kootenay; 5- Cariboo; 6- Skeena; 7- Omineca; 8- Okanagan; 9- Peace,Cariboo Regional District; Columbia Shuswap Regional District; Fraser Valley Regional District; Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kitimat-Stikine; Regional District of Okanagan-Similkameen; Squamish-Lillooet Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District,Vanderhoof; Princeton; Lillooet; Chase; Clinton; Barriere; Clearwater; Lytton; Sun Peaks; 100 Mile House; Revelstoke; Quesnel; Wells; Williams Lake; Burns Lake; Mackenzie; McBride; Prince George; Valemont; Fort St James; Fraser Lake; Granisle; Houston; Smithers; Telkwa,ICH; SBS,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,,,Y,Y,,"Ptolemy, J. and R. Vennesland. 2003. Update COSEWIC status report on the White Sturgeon Acipenser transmontanus in Canada, in COSEWIC assessment and update status report on the White Sturgeon Acipenser transmontanus, in Canada. Committee on the Status of Endangered Wildlife in Canada (COSEWIC). Ottawa. 1-51 pp.","This DU encompasses about 1,000 km of the mainstem Fraser River between Hells Gate and the confluence of the Morkill and Fraser rivers. This is an amalgamation of what was formerly three designatable units; the three geographic groups; the middle Fraser, upper Fraser, and Nechako River sturgeon groups. This change to the units was in COSEWIC (2012).",,Nov 2012,1,E,Jun 2003
Acrocheilus alutaceus,,Chiselmouth,,F-ACAL,AFCJB01010,G5,Oct-11,S4,May-19,May-19,NAR (May 2003),,Yellow,,,Bulkley Basin; Chilcotin Plateau; Hozameen Range; Nazko Upland; Nechako Lowland; Nechako Upland; Nicola Basin; Northern Okanagan Basin; Northern Okanagan Highland; Okanagan Range; Quesnel Lowland; Selkirk Foothills; Southern Okanogan Basin; Southern Okanogan Highland; Western Chilcotin Ranges; Western Chilcotin Upland; Western Okanagan Upland,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,,5- Cariboo; 6- Skeena; 7- Omineca; 8- Okanagan,Cariboo Regional District; Regional District of Bulkley-Nechako; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Okanagan-Similkameen; Thompson-Nicola Regional District,Keremeos; Osoyoos; Princeton; Oliver; Grand Forks; Greenwood; Midway,,,Native,Regularly occurring,,,N,W,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,May 2003,,,
Agonopsis vulsa,,Northern Spearnose Poacher,,F-AGVU,AFC4F02020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Albatrossia pectoralis,,Giant Grenadier,,F-ALPE,AFCMC05010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Alepisaurus ferox,,Longnose Lancetfish,,F-ALFE,AFC8E01020,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Aulopiformes,Alepisauridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Alepocephalus tenebrosus,,California Slickhead,,F-ALTE,AFCHH02010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Argentiniformes,Alepocephalidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Allocyttus folletti,,Oxeye Oreo,,F-ALFO,AFC1D01010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Zeiformes,Oreosomatidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Allolumpenus hypochromus,,Y-prickleback,,F-ALHY,AFCSC04010,GNR,,SNR,,,NAR (May 1991),,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,May 1991,,,
Allosmerus elongatus,,Whitebait Smelt,,F-ALEL,AFCHB05010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Alopias vulpinus,,Thresher Shark,,F-ALVU,AFDDC01020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,cartilaginous fishes,,Animalia,Craniata,Chondrichthyes,Lamniformes,Alopiidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Alosa sapidissima,,American Shad,,F-ALSA,AFCFA01060,G5,Dec-17,SNA,May-19,Jan-03,,,Exotic,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Amblyraja badia,,Broad Skate,,F-AMBA,AFDFD01180,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,cartilaginous fishes,,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Ameiurus melas,,Black Bullhead,,F-AMME,AFCKA06030,G5,Aug-15,SNA,May-19,Jan-03,,,Exotic,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Ameiurus natalis,Ictalurus natalis,Yellow Bullhead,,F-ICNA,AFCKA06040,G5,Oct-11,SNA,May-19,Dec-15,,,Exotic,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Ameiurus nebulosus,,Brown Bullhead,,F-AMNE,AFCKA06050,G5,Aug-15,SNA,May-19,Jan-03,,,Exotic,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Ammodytes hexapterus,,Pacific Sand Lance,,F-AMHE,AFCS601030,G5,Apr-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Ammodytidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
