Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Scientific Name - Concept Reference,Taxonomy Comments,Provincial FRPA Comments,COSEWIC Date,SARA Schedule,SARA Status,SARA Date
Coryphaenoides cinereus,,Popeye,,F-COCI,AFCMC06030,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Coryphaenoides filifer,,Filamented Rattail,,F-COFI,AFCMC06040,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Coryphaenoides leptolepis,,Ghostly Grenadier,,F-COLE,AFCMC06050,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Coryphaenoides yaquinae,,Rough Abyssal Grendier,,F-COYA,AFCMC06080,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Iwamoto, I. and D.L. Stein. 1974. A systematic review of the rattail fishes (Macrouridae: Gadiformes) from Oregon and adjacent waters. Occasional Papers of the California Academy of Sciences (111). 79 pp.",,,,,,
Cottus aleuticus,,Coastrange Sculpin,,F-COAL,AFC4E02010,G5,Sep-15,S5,May-19,May-10,,,Yellow,,,,,,,,Cottus ssp. 2 (Cultus Pygmy Sculpin),4 - Secure(2003),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Cottus aleuticus pop. 1,Cottus aleuticus; Cottus sp. 2,"Coastrange Sculpin, Cultus Population",Cultus Lake Sculpin; Cultus Pygmy Sculpin,F-COAL-01,AFC4E02270,G5T1T2Q,May-10,S1S2,May-19,May-10,E (Nov 2019),,Red,,,Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Pacific Ranges; Nanaimo Lowland; Nicola Basin; Northwestern Cascade Ranges; Okanagan Range; Outer Fjordland; Pavilion Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,,,,1-T (Jun 2003),,1 - At Risk(2000),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 8- Okanagan,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Nanaimo; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Princeton; Squamish; Whistler; Pemberton; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,CWH,,Native,Regularly occurring,,,Y,Y,,"Coffie, P. A. 1998. Status of the Cultus pygmy sculpin, Cottus sp., in Canada. Canadian Field-Naturalist 112:126-129.",NR ALEUTICUS,,Nov 2019,1,T,Jun 2003
Cottus asper,,Prickly Sculpin,,F-COAS,AFC4E02020,G5,Sep-15,S5,May-19,Jan-92,,,Yellow,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Cottus cognatus,,Slimy Sculpin,,F-COCO,AFC4E02080,G5,Aug-15,S5,May-19,May-92,,,Yellow,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Cottus confusus,,Shorthead Sculpin,,F-COCN,AFC4E02090,G5,Nov-11,S3,May-19,May-19,SC (Nov 2010),,Blue,,,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; Central Park Ranges; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Park Ranges; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Shuswap Basin; Southern Okanogan Basin; Southern Okanogan Highland; Southern Park Ranges; Southern Purcell Mountains; Shuswap River Highland; Upper Columbia Valley; Upper Fraser Trench,,,,1-SC,,1 - At Risk(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,3- Thompson; 4- Kootenay; 7- Omineca; 8- Okanagan,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Thompson-Nicola Regional District,Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; Golden; Revelstoke; Salmon Arm; Sicamous; Canal Flats; Invermere; ; Kimberley; Radium Hot Springs; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Coldstream; Spallumcheen; Lake Country,ICH; IDF,,Native,Regularly occurring,,,N,Y,,"Lemoine, M., M.K. Young, K.S. McKelvey, L. Eby, K.L. Pilgrim, and M.K. Schwartz. 2014. Cottus schitsuumsh, a new species of sculpin (Scorpaeniformes: Cottidae) in the Columbia River basin, Idaho-Montana, USA. Zootaxa 3755(3):241-258. http://dx.doi.org/10.11646/zootaxa.3755.3.3",,,Nov 2010,1,SC,
Cottus hubbsi,Cottus bairdi hubbsi,Columbia Sculpin,,F-COHU,AFC4E02053,G4Q,Nov-11,S3,May-19,May-01,SC (Nov 2019),,Blue,,,Big Bend Trench; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Pacific Ranges; East Kootenay Trench; Eastern Purcell Mountains; Eastern Pacific Ranges; Fraser River Basin; Guichon Upland; Hozameen Range; Leeward Pacific Ranges; McGillivray Range; Nicola Basin; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Shuswap Highland; Northern Thompson Upland; Okanagan Range; Pavilion Ranges; Quesnel Highland; Southern Columbia Mountains; Southern Chilcotin Ranges; Selkirk Foothills; Shuswap Basin; Southern Okanogan Basin; Southern Okanogan Highland; Southern Purcell Mountains; Shuswap River Highland; Thompson Basin; Tranquille Upland; Western Chilcotin Ranges; Western Okanagan Upland,,,,1-SC (Jun 2003),,3 - Sensitive(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,2- Lower Mainland; 3- Thompson; 4- Kootenay; 5- Cariboo; 7- Omineca; 8- Okanagan,Cariboo Regional District; Columbia Shuswap Regional District; Fraser Valley Regional District; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Mount Waddington; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District,Keremeos; Osoyoos; Penticton; Princeton; Oliver; Summerland; Lillooet; Ashcroft; Chase; Kamloops; Logan Lake; Cache Creek; Clearwater; Lytton; Merritt; Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; Revelstoke; Salmon Arm; Sicamous; ; Kimberley; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Armstrong; Coldstream; Enderby; Lumby; Spallumcheen; Vernon; Kelowna; Lake Country; Peachland; West Kelowna,BG; ICH; IDF; PP,,Native,Regularly occurring,,,N,Y,,"Markle, D. F., and D. L. Hill, Jr. 2000. Taxonomy and distribution of the Malheur mottled sculpin, Cottus bendirei. Northwest Science 74:202-211.","March 2009: D. McPhial pers. comm. (UBC conference): Know thus far that C. hubbsi is not C. bairdii or C. confusus or Cottus Sp. (Rocky Mt. Sculpin). Possiblilities: 1. C. hubbsi is a valid species; 2. BC could have C.hubbsi & C. bendirei; 3. C. hubbsi could really be another species altogether.
Jan. 2006 - changed from Cottus bairdi hubbsi to Cottus hubbsi as per NatureServe (DDW). Recognized as a distinct species by Markle and Hill (2000), but further study is needed to clarify the taxonomic and geographic scope of this entity. 
April 2001 - SUBSPECIES ET ESTABLISHED AFTER CONSULTATION WITH JOEL DUNN (ABI) AND ALEX PEDEN.",,Nov 2019,1,SC,Jun 2003
